address;webSite;helpPhone;dimensions;coordinates
улица Москворечье, дом 35 ;moskvoreche-saburovo.mos.ru/;+7 (499) 323-32-53;площадь (кв. м): 440;{type=Point, coordinates=[37.66178909155603, 55.64653875570052]}
Коломенская набережная, дом 26 ;nagatinsky-zaton.mos.ru;+7 (499) 614-76-21;площадь (кв. м): 840;{type=Point, coordinates=[37.69034641034829, 55.67492601887058]}
улица Мусы Джалиля, дом 34 ;zyablikovo.mos.ru;+7 (495) 396-15-76;площадь (кв. м): 405;{type=Point, coordinates=[37.737064139659516, 55.61771321420699]}
3-й Митинский переулок, дом 5;mitino.mos.ru;+7 (495) 753-12-22;площадь (кв. м): 375;{type=Point, coordinates=[37.34740302395976, 55.8474340346472]}
Касимовская улица, дом 15;bv.mos.ru/;+7 (499) 218-27-30;площадь (кв. м): 413;{type=Point, coordinates=[37.65534530640068, 55.59752508662423]}
Бирюлёвская улица, дом 49 ;bv.mos.ru/;+7 (499) 218-27-30;площадь (кв. м): 460.2;{type=Point, coordinates=[37.67192854761566, 55.58446436522445]}
Братеевская улица, дом 27 ;brateevo.mos.ru;+7 (495) 342-42-70;площадь (кв. м): 405;{type=Point, coordinates=[37.758182007056384, 55.63430296157496]}
Братеевская улица, дом 33 ;brateevo.mos.ru;+7 (495) 342-42-70;площадь (кв. м): 405;{type=Point, coordinates=[37.76538645153158, 55.63652408417684]}
улица Яблочкова, дом 29Б;dez-butyrskiy.ru;+7 (495) 610-42-01;площадь (кв. м): 524;{type=Point, coordinates=[37.57833487751375, 55.82319838975104]}
Осташковская улица, дом 8;losinka.mos.ru;+7 (499) 185-99-38;площадь (кв. м): 162;{type=Point, coordinates=[37.680968218692634, 55.878601468027426]}
Сумской проезд, дом 27;gbu-chs.ru/;+7 (495) 315-50-36;площадь (кв. м): 376.8;{type=Point, coordinates=[37.592678833783104, 55.62805787712447]}
Сумской проезд, дом 31 ;gbu-chs.ru/;+7 (495) 315-50-36;площадь (кв. м): 315.9;{type=Point, coordinates=[37.59204108470248, 55.62651697130131]}
Кировоградская улица, дом 7;chertanovo-severnoe.mos.ru/;+7 (495) 315-50-36;площадь (кв. м): 564;{type=Point, coordinates=[37.612963838049744, 55.62694833620612]}
Днепропетровская улица, дом 39;www.gbuchc.ru;+7 (495) 316-73-66;площадь (кв. м): 497.8;{type=Point, coordinates=[37.59077951958234, 55.61546744076366]}
Россошанский проезд, дом 2 ;dez-chertanovo-ug.ru;+7 (495) 389-47-09;площадь (кв. м): 325;{type=Point, coordinates=[37.607536176918096, 55.600843287957275]}
Россошанская улица, дом 11 ;chertanovo-juzhnoe.mos.ru;+7 (495) 389-47-09;площадь (кв. м): 861;{type=Point, coordinates=[37.61352668020258, 55.59736417670239]}
Россошанская улица, дом 3 ;chertanovo-juzhnoe.mos.ru;+7 (495) 389-47-09;площадь (кв. м): 323;{type=Point, coordinates=[37.607494529004526, 55.59546820614572]}
Россошанская улица, дом 9 ;dez-chertanovo-ug.ru;+7 (495) 389-47-09;площадь (кв. м): 403;{type=Point, coordinates=[37.611691470486655, 55.59483711245236]}
улица Газопровод, дом 1 ;dez-chertanovo-ug.ru;+7 (495) 389-47-09;площадь (кв. м): 405;{type=Point, coordinates=[37.60400649768685, 55.593659564627714]}
город Зеленоград, ;silino.mos.ru;+7 (499) 995-00-54;площадь (кв. м): 600;{type=Point, coordinates=[37.176905282099455, 55.99624421451588]}
Кутузовский проспект, дом 10;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 210;{type=Point, coordinates=[37.558579231568636, 55.74895236451034]}
улица Красная Пресня, дом 11;presnya.mos.ru;+7 (499) 259-08-10;площадь (кв. м): 700;{type=Point, coordinates=[37.57196116762616, 55.760778690678926]}
Большой Патриарший переулок, дом 12 ;presnyamo.ru/district/sport/sportivnye-obekty/;+7 (499) 259-08-10;площадь (кв. м): 396;{type=Point, coordinates=[37.5933518831463, 55.7628948368394]}
Глубокий переулок, дом 1/2;presnyamo.ru/district/sport/;+7 (499) 259-08-10;площадь (кв. м): 700;{type=Point, coordinates=[37.569335864859475, 55.75511080811915]}
Звенигородское шоссе, дом 2;presnyavmo.ru/sport/playground;+7 (499) 259-08-10;площадь (кв. м): 440;{type=Point, coordinates=[37.55872779231148, 55.764461558580855]}
Звенигородское шоссе, дом 3А, ;presnyamo.ru/district/sport/sportivnye-obekty/;+7 (499) 259-08-10;площадь (кв. м): 400;{type=Point, coordinates=[37.55592706916651, 55.76323212815972]}
13-я Парковая улица, дом 19;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 986.9;{type=Point, coordinates=[37.81114075880309, 55.800826791107504]}
Большая Бронная улица, дом 7;presnya.mos.ru;+7 (499) 259-08-10;площадь (кв. м): 350;{type=Point, coordinates=[37.59794967152001, 55.76134129483579]}
Главная улица, дом 19;vostochniy.mos.ru;+7 (499) 780-67-70;площадь (кв. м): 800;{type=Point, coordinates=[37.86913871813051, 55.8205983992249]}
Главная улица, дом 22;vostochniy.mos.ru;+7 (499) 780-67-70;площадь (кв. м): 800;{type=Point, coordinates=[37.87086740239261, 55.81922157818138]}
Большая Грузинская улица, дом 39;presnyamo.ru/district/sport/sportivnye-obekty/;+7 (499) 259-08-10;площадь (кв. м): 800;{type=Point, coordinates=[37.57977720213424, 55.770401776368146]}
Большая Грузинская улица, дом 63 ;presnyamo.ru/district/sport/sportivnye-obekty/;+7 (499) 259-08-10;площадь (кв. м): 400;{type=Point, coordinates=[37.58423918305323, 55.7728964046374]}
2-й Неопалимовский переулок, дом 5;gbu-hamovniki.ru;+7 (499) 242-52-04;площадь (кв. м): 203;{type=Point, coordinates=[37.581871191257186, 55.739372446479784]}
Средний Тишинский переулок, дом 3;presnyamo.ru/district/sport/sportivnye-obekty/;+7 (499) 256-31-61;площадь (кв. м): 270;{type=Point, coordinates=[37.57912677266111, 55.76978548959947]}
Ленинградское шоссе, дом 9 ;voykovsky.mos.ru;+7 (499) 156-20-02;площадь (кв. м): 152;{type=Point, coordinates=[37.49860977187012, 55.8159694485265]}
улица Старый Гай, дом 6;veshnyaki.su;+7 (495) 770-09-42;площадь (кв. м): 330;{type=Point, coordinates=[37.8264649116446, 55.7411915479334]}
Батюнинская улица, дом 2 ;pechatniki.mos.ru;+7 (495) 354-28-08;площадь (кв. м): 534;{type=Point, coordinates=[37.70797868973688, 55.658672473992524]}
улица Миклухо-Маклая, дом 25;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 660;{type=Point, coordinates=[37.51639743155169, 55.64833567199329]}
улица Миклухо-Маклая, дом 30;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 420;{type=Point, coordinates=[37.52899920882669, 55.64047801761649]}
улица Миклухо-Маклая, дом 18/1;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 800;{type=Point, coordinates=[37.516622118836125, 55.6445355534771]}
улица Миклухо-Маклая, дом 40;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 392;{type=Point, coordinates=[37.53974012129045, 55.63777004686298]}
улица Островитянова, дом 32;konkovo.mos.ru/;+7 (495) 420-94-85;площадь (кв. м): 765;{type=Point, coordinates=[37.52397815445999, 55.63242428727058]}
Профсоюзная улица, дом 113 ;www.konkovo-moscow.ru;+7 (495) 420-94-85;площадь (кв. м): 331.2;{type=Point, coordinates=[37.52100976839832, 55.6305695489553]}
Профсоюзная улица, дом 115 ;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 500;{type=Point, coordinates=[37.519337684516564, 55.629610519223675]}
Профсоюзная улица, дом 114 ;konkovo.mos.ru/;+7 (495) 420-94-85;площадь (кв. м): 848;{type=Point, coordinates=[37.515962274224826, 55.639706778146035]}
улица Введенского, дом 31 ;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 630;{type=Point, coordinates=[37.5336295525864, 55.63331996748126]}
Нагорная улица, дом 23 ;kotlovka.mos.ru;+7 (499) 121-24-74;площадь (кв. м): 1018.5;{type=Point, coordinates=[37.601776087460955, 55.67703658594686]}
улица Ремизова, дом 5;kotlovka.mos.ru;+7 (499) 123-62-15;площадь (кв. м): 449.4;{type=Point, coordinates=[37.599581101182174, 55.677866857344476]}
Ленинский проспект, дом 81/2;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 537;{type=Point, coordinates=[37.540355337365696, 55.683338852260306]}
Ленинский проспект, дом 85 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 432.2;{type=Point, coordinates=[37.537978682619695, 55.67985993422521]}
Ленинский проспект, дом 88 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 223.8;{type=Point, coordinates=[37.52424647456312, 55.67708895618106]}
Ленинский проспект, дом 90;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 594;{type=Point, coordinates=[37.52343657754373, 55.67517187469674]}
Ленинский проспект, дом 91;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 652.5;{type=Point, coordinates=[37.530943501618275, 55.676081297688036]}
Интернациональная улица, дом 2 ;vnukovo.mos.ru;+7 (495) 436-21-77;площадь (кв. м): 480;{type=Point, coordinates=[37.2558894890123, 55.611926936227796]}
проспект Вернадского, дом 11/19;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 571.2;{type=Point, coordinates=[37.52875905400751, 55.68794092899794]}
проспект Вернадского, дом 13;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 599.6;{type=Point, coordinates=[37.52785681802381, 55.686848862593806]}
проспект Вернадского, дом 15;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 505.7;{type=Point, coordinates=[37.525489824637, 55.68623156122724]}
улица Академика Пилюгина, дом 22 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 560.4;{type=Point, coordinates=[37.533075181549826, 55.66957372863151]}
улица Гарибальди, дом 4 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 317.4;{type=Point, coordinates=[37.53336583317321, 55.675201879266254]}
улица Крупской, дом 11;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 723.2;{type=Point, coordinates=[37.52435288358029, 55.682038682217616]}
улица Марии Ульяновой, дом 3 ;lomonosovsky.mos.ru/;+7 (499) 783-84-23;площадь (кв. м): 259.5;{type=Point, coordinates=[37.526907835376875, 55.67864535193097]}
улица Панфёрова, дом 16 ;lomonosovsky.mos.ru;+7 (499) 783-84-23;площадь (кв. м): 426.6;{type=Point, coordinates=[37.545268906650264, 55.68069025395055]}
Украинский бульвар, дом 11;evagd.ru;+7 (499) 249-45-27;площадь (кв. м): 264;{type=Point, coordinates=[37.56856868573814, 55.74692453428746]}
улица Тёплый Стан, дом 21 ;teplystan.mos.ru;+7 (495) 338-77-94;площадь (кв. м): 429;{type=Point, coordinates=[37.4824689830408, 55.62733829292606]}
улица Тёплый Стан, дом 4;teplystan.mos.ru;+7 (495) 338-77-94;площадь (кв. м): 364.1;{type=Point, coordinates=[37.488207620805376, 55.62810971089177]}
улица Тёплый Стан, дом 9 ;teplystan.mos.ru;+7 (495) 338-77-94;площадь (кв. м): 636;{type=Point, coordinates=[37.49279447103881, 55.6217161063832]}
город Зеленоград, ;www.gbu-matushkino.com;+7 (499) 734-82-60;площадь (кв. м): 466.4;{type=Point, coordinates=[37.210334765599406, 56.004159744270126]}
набережная Тараса Шевченко, дом 3;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 300;{type=Point, coordinates=[37.570689573115146, 55.74859824439178]}
Резервный проезд, дом 8 ;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 640;{type=Point, coordinates=[37.55113637173961, 55.741808969290815]}
улица Генерала Ермолова, дом 10/6;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 1176;{type=Point, coordinates=[37.516383144429504, 55.739827594210105]}
улица Дениса Давыдова, дом 7;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 275;{type=Point, coordinates=[37.51715828541019, 55.73815527854018]}
Авиационная улица, дом 74 ;shukino.ru;+7 (499) 194-99-01;площадь (кв. м): 456;{type=Point, coordinates=[37.4509428620955, 55.81046563946495]}
Варшавское шоссе, дом 114 ;gbu-chs.ru/;+7 (495) 315-50-36;площадь (кв. м): 559;{type=Point, coordinates=[37.618351775774784, 55.6354905463396]}
улица Маршала Соколовского, дом 4;shukino.ru;+7 (499) 194-99-01;площадь (кв. м): 315;{type=Point, coordinates=[37.49151376734239, 55.795700860991595]}
улица Академика Арцимовича, дом 9;konkovo.mos.ru;+7 (495) 420-94-85;площадь (кв. м): 352;{type=Point, coordinates=[37.51226041691946, 55.64050330501108]}
Балаклавский проспект, дом 3;chertanovo-severnoe.mos.ru;+7 (495) 315-50-36;площадь (кв. м): 400.2;{type=Point, coordinates=[37.612330574958364, 55.640328159601836]}
Кировоградская улица, дом 8 ;chertanovo-severnoe.mos.ru;+7 (495) 315-50-36;площадь (кв. м): 248;{type=Point, coordinates=[37.607309524868796, 55.62729373429766]}
1-й Краснокурсантский проезд, дом 3/5 ;lefortovo.mos.ru;+7 (495) 361-17-84;площадь (кв. м): 276;{type=Point, coordinates=[37.69329285815437, 55.76033161400485]}
Кировоградская улица, дом 7;chertanovo-severnoe.mos.ru/;+7 (495) 315-50-36;площадь (кв. м): 200;{type=Point, coordinates=[37.61353246636048, 55.626879903902676]}
1-й квартал Капотня, дом 12;kapotnya.uvaogbu.ru;+7 (495) 355-75-92;площадь (кв. м): 258;{type=Point, coordinates=[37.78977443349865, 55.64152101096534]}
2-я Фрезерная улица, дом 6 ;nizhegorodsky.mos.ru;+7 (495) 678-50-49;площадь (кв. м): 504;{type=Point, coordinates=[37.740458899409155, 55.739766193108764]}
улица Гарибальди, дом 14 ;lomonosovsky.mos.ru;;площадь (кв. м): 198;{type=Point, coordinates=[37.53952647619625, 55.67303666224662]}
город Зеленоград, ;silino.mos.ru;+7 (499) 995-00-54;площадь (кв. м): 934.8;{type=Point, coordinates=[37.17717172271007, 55.99647480557872]}
Череповецкая улица, дом 4 ;lianozovo.mos.ru;+7 (499) 908-80-79;площадь (кв. м): 1310;{type=Point, coordinates=[37.56479793115552, 55.89723949021235]}
Воронежская улица, дом 26 ;orehovo-borisovo-juzhnoe.mos.ru;+7 (495) 343-24-83;площадь (кв. м): 216;{type=Point, coordinates=[37.7362892785024, 55.60982590115325]}
Воронежская улица, дом 36 ;orehovo-borisovo-juzhnoe.mos.ru;+7 (495) 343-24-83;площадь (кв. м): 235.6;{type=Point, coordinates=[37.74137295179992, 55.60865461099998]}
Первомайская улица, дом 64;izmaylowo.mos.ru;+7 (495) 652-07-31;площадь (кв. м): 240;{type=Point, coordinates=[37.79561973566791, 55.792845105407224]}
Задонский проезд, дом 16;zyablikovo.mos.ru;+7 (495) 396-15-76;площадь (кв. м): 600;{type=Point, coordinates=[37.748942423643506, 55.62625201297719]}
Липецкая улица, дом 12 ;gbu-bv.moscow/;+7 (499) 218-27-30;площадь (кв. м): 1190;{type=Point, coordinates=[37.66914004225637, 55.59838069099173]}
Липецкая улица, дом 12 ;bv.mos.ru;+7 (499) 218-27-30;площадь (кв. м): 1185;{type=Point, coordinates=[37.668298818988696, 55.59773602546212]}
Булатниковская улица, дом 11 ;gbu-bz.ru;+7 (495) 384-05-00;площадь (кв. м): 393;{type=Point, coordinates=[37.64365646540507, 55.580033690018574]}
Абрамцевская улица, дом 1;lianozovo.mos.ru;+7 (499) 908-80-79;площадь (кв. м): 632;{type=Point, coordinates=[37.572419227593016, 55.893426217526]}
Кастанаевская улица, дом 6;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 338;{type=Point, coordinates=[37.4977937419065, 55.740797488884446]}
Минская улица, дом 14 ;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 360;{type=Point, coordinates=[37.48616680689964, 55.73796791539518]}
улица Василисы Кожиной, дом 14 ;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 180;{type=Point, coordinates=[37.49672258242414, 55.736375035012415]}
Новозаводская улица, дом 2 ;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 1248;{type=Point, coordinates=[37.51617265910015, 55.74696844773475]}
Новозаводская улица, дом 2 ;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 220;{type=Point, coordinates=[37.51584374902809, 55.746769801466705]}
улица Олеко Дундича, дом 7;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 270;{type=Point, coordinates=[37.495380980812335, 55.74103357891868]}
Тучковская улица, дом 9;filevsky-park.mos.ru;+7 (499) 148-99-81;площадь (кв. м): 1800;{type=Point, coordinates=[37.50926833147142, 55.74803748206405]}
Минусинская улица, дом 16;losinka.mos.ru/;+7 (499) 185-99-38;площадь (кв. м): 162;{type=Point, coordinates=[37.69114158800425, 55.87586645629762]}
2-й Крестовский переулок, дом 4;meschanka.mos.ru;+7 (495) 607-33-20;площадь (кв. м): 298.7;{type=Point, coordinates=[37.637364612899916, 55.79048828874609]}
улица Верземнека, дом 2;meschanka.mos.ru/;+7 (495) 607-33-20;площадь (кв. м): 90;{type=Point, coordinates=[37.63026725414053, 55.789806910031004]}
Мукомольный проезд, дом 5 ;presnya.mos.ru/;+7 (499) 259-08-10;площадь (кв. м): 460;{type=Point, coordinates=[37.52346346130695, 55.7523310871929]}
Олимпийский проспект, дом 10 ;meschanka.mos.ru/;+7 (495) 607-33-20;площадь (кв. м): 260;{type=Point, coordinates=[37.622894883421246, 55.77713128416744]}
Олимпийский проспект, дом 28;meschanka.mos.ru;+7 (495) 607-33-20;площадь (кв. м): 435;{type=Point, coordinates=[37.62376820890747, 55.79081414801508]}
улица Трёхгорный Вал, дом 14 ;presnya.mos.ru;+7 (499) 259-08-10;площадь (кв. м): 480;{type=Point, coordinates=[37.56307059196158, 55.759938364835904]}
1-й Смоленский переулок, дом 24;arbat.mos.ru;+7 (499) 241-29-64;площадь (кв. м): 700;{type=Point, coordinates=[37.58071630540842, 55.74974103008791]}
улица Трёхгорный Вал, дом 5;presnya.mos.ru;+7 (499) 259-08-10;площадь (кв. м): 510;{type=Point, coordinates=[37.55895769164062, 55.75852841860475]}
Малый Николопесковский переулок, дом 11 ;arbat.mos.ru/;+7 (499) 241-21-61;площадь (кв. м): 390;{type=Point, coordinates=[37.59143885278265, 55.75130664927109]}
Трубниковский переулок, дом 24 ;arbat.mos.ru/;+7 (499) 241-29-64;площадь (кв. м): 240;{type=Point, coordinates=[37.58745229640589, 55.75449756797354]}
Столешников переулок, дом 9 ;tveruprava.mos.ru;+7 (499) 250-38-84;площадь (кв. м): 260;{type=Point, coordinates=[37.61452604190389, 55.76354812643427]}
Сущёвская улица, дом 13-15;tveruprava.mos.ru;+7 (499) 250-38-84;площадь (кв. м): 264;{type=Point, coordinates=[37.60085723127156, 55.78089689222705]}
Новая Басманная улица, дом 31 ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 260;{type=Point, coordinates=[37.666014811847255, 55.77083399779777]}
Яковоапостольский переулок, дом 11-13 ;basman.mos.ru/;+7 (495) 607-42-68;площадь (кв. м): 704;{type=Point, coordinates=[37.65529227520875, 55.759491039178045]}
Фрунзенская набережная, дом 2/1;hamovniki.mos.ru;+7 (499) 242-52-04;площадь (кв. м): 345;{type=Point, coordinates=[37.59494349667845, 55.73388453512039]}
улица Земляной Вал, дом 25;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 600;{type=Point, coordinates=[37.65872597022077, 55.759779928155965]}
улица Покровка, дом 20/1 ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 204;{type=Point, coordinates=[37.64803279812193, 55.758129936767]}
Плетешковский переулок, дом 3А, ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 249;{type=Point, coordinates=[37.67623205324125, 55.77102489887187]}
Рубцовская набережная, дом 2 ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 600;{type=Point, coordinates=[37.69426882763209, 55.7739469869819]}
Бауманская улица, дом 48/13;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 864;{type=Point, coordinates=[37.67763081847444, 55.77017618231882]}
улица Макаренко, дом 8;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 308;{type=Point, coordinates=[37.64828398690482, 55.76118236622334]}
Старая Басманная улица, дом 9 ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 648;{type=Point, coordinates=[37.656270040607225, 55.76570330613415]}
Большая Почтовая улица, дом 2/4;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 228;{type=Point, coordinates=[37.6888604751683, 55.77299067792603]}
Гольяновская улица, дом 3А, ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 483;{type=Point, coordinates=[37.70809189469792, 55.77641787742595]}
Нижняя Красносельская улица, дом 44;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 425;{type=Point, coordinates=[37.6739806410146, 55.773237026446274]}
Волоколамское шоссе, дом 13;sokol.mos.ru;+7 (499) 158-69-81;площадь (кв. м): 288;{type=Point, coordinates=[37.49595784291267, 55.8077022765621]}
Ленинградский проспект, дом 77 ;sokol.mos.ru;+7 (499) 158-69-81;площадь (кв. м): 449.8;{type=Point, coordinates=[37.507416240893704, 55.805064509671325]}
Песчаный переулок, дом 10 ;sokol.mos.ru;+7 (499) 158-69-81;площадь (кв. м): 423;{type=Point, coordinates=[37.50874707835262, 55.79869255431688]}
улица Алабяна, дом 12 ;www.munsokol.ru;+7 (499) 158-69-81;площадь (кв. м): 391.2;{type=Point, coordinates=[37.500699155376864, 55.799823201919466]}
2-й Новоподмосковный переулок, дом 4;voykovsky.mos.ru/;+7 (499) 156-20-02;площадь (кв. м): 300;{type=Point, coordinates=[37.511572438268566, 55.81835770686567]}
Севастопольский проспект, дом 37;kotlovka.mos.ru;+7 (499) 121-24-74;площадь (кв. м): 1272.3;{type=Point, coordinates=[37.59230650674354, 55.67420688225291]}
Ленинский проспект, дом 123;teplystan.mos.ru;+7 (495) 338-77-94;площадь (кв. м): 432;{type=Point, coordinates=[37.47900147707204, 55.646102161891314]}
Ленинский проспект, дом 129 ;teplystan.mos.ru;+7 (495) 338-77-94;площадь (кв. м): 736.2;{type=Point, coordinates=[37.479308604859796, 55.64404702298328]}
Кутузовский проспект, дом 26 ;dorogomilovo.mos.ru/;+7 (499) 243-07-27;площадь (кв. м): 525;{type=Point, coordinates=[37.541447915043015, 55.74325888109595]}
Зюзинская улица, дом 4 ;mcherem.ru;+7 (495) 332-13-11;площадь (кв. м): 560;{type=Point, coordinates=[37.576387266323124, 55.66603562234694]}
Открытое шоссе, дом 23 ;metrogorodok.mos.ru;+7 (499) 167-04-05;площадь (кв. м): 240;{type=Point, coordinates=[37.750966852942426, 55.82591085982739]}
15-я Парковая улица, дом 28;v-izm.mos.ru;+7 (499) 463-62-09;площадь (кв. м): 386.3;{type=Point, coordinates=[37.81919955687445, 55.80184161831871]}
улица Академика Анохина, дом 12 ;troparevo-zao.ru;+7 (495) 438-01-01;площадь (кв. м): 345.8;{type=Point, coordinates=[37.467220434853026, 55.6667885844047]}
улица Академика Анохина, дом 6 ;troparevo-zao.ru;+7 (495) 438-01-01;площадь (кв. м): 170;{type=Point, coordinates=[37.4703510975927, 55.6683617763075]}
проспект Вернадского, дом 89 ;troparevo-zao.ru;+7 (495) 438-01-01;площадь (кв. м): 697;{type=Point, coordinates=[37.497599932984066, 55.664386635205574]}
улица Академика Анохина, дом 12 ;troparevo-zao.ru;+7 (499) 792-22-04;площадь (кв. м): 375;{type=Point, coordinates=[37.46725631937929, 55.6667772670004]}
Ленинский проспект, дом 156;troparevo-zao.ru;+7 (495) 438-01-01;площадь (кв. м): 348;{type=Point, coordinates=[37.4865590078396, 55.653389521243724]}
Полоцкая улица, дом 6 ;kuntsevo.mos.ru;+7 (499) 141-25-36;площадь (кв. м): 800;{type=Point, coordinates=[37.42621788850878, 55.7306101751808]}
Студенческая улица, дом 30 ;dorogomilovo.info;+7 (499) 249-45-27;площадь (кв. м): 404.1;{type=Point, coordinates=[37.544966084884756, 55.741603631108674]}
Малый Златоустинский переулок, дом 10 ;basman.mos.ru/;+7 (495) 607-42-68;площадь (кв. м): 288;{type=Point, coordinates=[37.63615201566909, 55.75905537819169]}
улица Земляной Вал, дом 24/32;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 1024;{type=Point, coordinates=[37.656188611299115, 55.75700133750193]}
Семёновская набережная, дом 3/1 ;basman.mos.ru;+7 (495) 607-42-68;площадь (кв. м): 310;{type=Point, coordinates=[37.70758547155702, 55.77887920020614]}
Михневская улица, дом 8;bv.mos.ru;+7 (499) 218-27-30;площадь (кв. м): 450;{type=Point, coordinates=[37.670062083185286, 55.57918670233104]}
